Classifier Name,Training or Test Set,Number of Training Samples,Number of non-healthy companies in training sample,TP,TN,FP,FN,Precision,Recall,F1 score,Accuracy
Logistic Regression Classifier,Training Set,8572,203,156,6512,1857,47,0.07749627421758569,0.7684729064039408,0.1407942238267148,0.7778814745683621
Logistic Regression Classifier,Test Set,2144,45,31,1605,494,14,0.05904761904761905,0.6888888888888889,0.10877192982456141,0.7630597014925373
kNN Classifier,Training Set,8572,203,23,8362,7,180,0.7666666666666667,0.11330049261083744,0.19742489270386265,0.9781847876808213
kNN Classifier,Test Set,2144,45,2,2093,6,43,0.25,0.044444444444444446,0.07547169811320754,0.9771455223880597
Gaussian Naive Bayes Classifier,Training Set,8572,203,50,7901,468,153,0.09652509652509653,0.24630541871921183,0.13869625520110956,0.9275548296780215
Gaussian Naive Bayes Classifier,Test Set,2144,45,12,1962,137,33,0.08053691275167785,0.26666666666666666,0.12371134020618557,0.9207089552238806
Support Vector Classifier,Training Set,8572,203,176,6735,1634,27,0.09723756906077348,0.8669950738916257,0.17486338797814208,0.8062295846943537
Support Vector Classifier,Test Set,2144,45,31,1672,427,14,0.06768558951965066,0.6888888888888889,0.12326043737574553,0.7943097014925373
